,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3540,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,audio_features,469rBLYJUZHMJLtq2Wch3h,spotify:track:469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/tracks/469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/audio-analysis/469rBLYJUZHMJLtq2Wch3h,431093,4
3542,0.663,0.91,4,-5.131,0,0.0495,0.00052,0.675,0.112,0.708,140.044,audio_features,5mR858YsHYG761aUqZoGkD,spotify:track:5mR858YsHYG761aUqZoGkD,https://api.spotify.com/v1/tracks/5mR858YsHYG761aUqZoGkD,https://api.spotify.com/v1/audio-analysis/5mR858YsHYG761aUqZoGkD,241907,4
3545,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,audio_features,1HM7Vp84E4SMzdrZONg6bH,spotify:track:1HM7Vp84E4SMzdrZONg6bH,https://api.spotify.com/v1/tracks/1HM7Vp84E4SMzdrZONg6bH,https://api.spotify.com/v1/audio-analysis/1HM7Vp84E4SMzdrZONg6bH,309640,4
3547,0.437,0.948,4,-6.041,0,0.0554,0.000716,0.000261,0.146,0.361,96.72,audio_features,3w9zHVKI28aUPZTxq8oDC6,spotify:track:3w9zHVKI28aUPZTxq8oDC6,https://api.spotify.com/v1/tracks/3w9zHVKI28aUPZTxq8oDC6,https://api.spotify.com/v1/audio-analysis/3w9zHVKI28aUPZTxq8oDC6,222440,4
3549,0.519,0.982,7,-3.547,1,0.108,0.00203,0.00055,0.0971,0.361,97.745,audio_features,4E5xVW505akJX0wcKj8Mpd,spotify:track:4E5xVW505akJX0wcKj8Mpd,https://api.spotify.com/v1/tracks/4E5xVW505akJX0wcKj8Mpd,https://api.spotify.com/v1/audio-analysis/4E5xVW505akJX0wcKj8Mpd,319267,4
3552,0.322,0.991,6,-4.453,1,0.213,0.00313,0.0035,0.0708,0.198,140.221,audio_features,3CIOopLwvyMvXk97ZEksKO,spotify:track:3CIOopLwvyMvXk97ZEksKO,https://api.spotify.com/v1/tracks/3CIOopLwvyMvXk97ZEksKO,https://api.spotify.com/v1/audio-analysis/3CIOopLwvyMvXk97ZEksKO,168320,4
3553,0.445,0.964,9,-5.493,1,0.282,0.037,0.0132,0.0773,0.448,140.817,audio_features,28WmNsclKsrVmdv3tDmoYU,spotify:track:28WmNsclKsrVmdv3tDmoYU,https://api.spotify.com/v1/tracks/28WmNsclKsrVmdv3tDmoYU,https://api.spotify.com/v1/audio-analysis/28WmNsclKsrVmdv3tDmoYU,414720,4
3554,0.272,0.747,5,-4.86,0,0.0401,0.000393,4.03e-05,0.16,0.255,202.777,audio_features,6olS0TmHmsGr0hXtcBsiVM,spotify:track:6olS0TmHmsGr0hXtcBsiVM,https://api.spotify.com/v1/tracks/6olS0TmHmsGr0hXtcBsiVM,https://api.spotify.com/v1/audio-analysis/6olS0TmHmsGr0hXtcBsiVM,262133,4
3555,0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,audio_features,2SrVGpjv0mqCR6j9EZPSm2,spotify:track:2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/tracks/2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/audio-analysis/2SrVGpjv0mqCR6j9EZPSm2,363587,4
3556,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,audio_features,15DLl1r2zi07Ssq5RT1yT0,spotify:track:15DLl1r2zi07Ssq5RT1yT0,https://api.spotify.com/v1/tracks/15DLl1r2zi07Ssq5RT1yT0,https://api.spotify.com/v1/audio-analysis/15DLl1r2zi07Ssq5RT1yT0,147840,4
3557,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,audio_features,1BrgjqSg9du0lj3TUMLluL,spotify:track:1BrgjqSg9du0lj3TUMLluL,https://api.spotify.com/v1/tracks/1BrgjqSg9du0lj3TUMLluL,https://api.spotify.com/v1/audio-analysis/1BrgjqSg9du0lj3TUMLluL,206547,4
3558,0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,audio_features,3LpHzQU2CZzZJGdUWV79SI,spotify:track:3LpHzQU2CZzZJGdUWV79SI,https://api.spotify.com/v1/tracks/3LpHzQU2CZzZJGdUWV79SI,https://api.spotify.com/v1/audio-analysis/3LpHzQU2CZzZJGdUWV79SI,309973,4
3559,0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,audio_features,5ofoB8PFmocBXFBEWVb6Vz,spotify:track:5ofoB8PFmocBXFBEWVb6Vz,https://api.spotify.com/v1/tracks/5ofoB8PFmocBXFBEWVb6Vz,https://api.spotify.com/v1/audio-analysis/5ofoB8PFmocBXFBEWVb6Vz,244365,4
3560,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4
3561,0.398,0.939,9,-2.865,0,0.0648,0.00591,0.000881,0.357,0.235,92.027,audio_features,5hheGdf1cb4rK0FNiedCfK,spotify:track:5hheGdf1cb4rK0FNiedCfK,https://api.spotify.com/v1/tracks/5hheGdf1cb4rK0FNiedCfK,https://api.spotify.com/v1/audio-analysis/5hheGdf1cb4rK0FNiedCfK,342821,4
3562,0.49,0.956,5,-4.249,0,0.0675,2.32e-05,0.0,0.455,0.412,110.042,audio_features,1g5Jqwo02PuitYfv19B6Jn,spotify:track:1g5Jqwo02PuitYfv19B6Jn,https://api.spotify.com/v1/tracks/1g5Jqwo02PuitYfv19B6Jn,https://api.spotify.com/v1/audio-analysis/1g5Jqwo02PuitYfv19B6Jn,179187,4
3563,0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,audio_features,1PhLYngBKbeDtdmDzCg3Pb,spotify:track:1PhLYngBKbeDtdmDzCg3Pb,https://api.spotify.com/v1/tracks/1PhLYngBKbeDtdmDzCg3Pb,https://api.spotify.com/v1/audio-analysis/1PhLYngBKbeDtdmDzCg3Pb,323933,4
3565,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4
3567,0.489,0.968,1,-4.41,1,0.108,4.66e-05,0.00221,0.0904,0.184,95.065,audio_features,5qZMqZspIglsy4SJxtJt0S,spotify:track:5qZMqZspIglsy4SJxtJt0S,https://api.spotify.com/v1/tracks/5qZMqZspIglsy4SJxtJt0S,https://api.spotify.com/v1/audio-analysis/5qZMqZspIglsy4SJxtJt0S,237301,4
3568,0.49,0.951,1,-3.777,1,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946,audio_features,6FUwPb4mGlUDbx42uspXaZ,spotify:track:6FUwPb4mGlUDbx42uspXaZ,https://api.spotify.com/v1/tracks/6FUwPb4mGlUDbx42uspXaZ,https://api.spotify.com/v1/audio-analysis/6FUwPb4mGlUDbx42uspXaZ,269800,4
3569,0.248,0.988,2,-3.74,1,0.144,5.87e-05,0.84,0.323,0.149,115.301,audio_features,6b6uLZsoGhObYexIxnRbIb,spotify:track:6b6uLZsoGhObYexIxnRbIb,https://api.spotify.com/v1/tracks/6b6uLZsoGhObYexIxnRbIb,https://api.spotify.com/v1/audio-analysis/6b6uLZsoGhObYexIxnRbIb,311200,4
3570,0.368,0.917,6,-4.829,0,0.0772,0.147,0.000121,0.169,0.343,110.455,audio_features,3vhKrSxe3fRuS5Ogis76VO,spotify:track:3vhKrSxe3fRuS5Ogis76VO,https://api.spotify.com/v1/tracks/3vhKrSxe3fRuS5Ogis76VO,https://api.spotify.com/v1/audio-analysis/3vhKrSxe3fRuS5Ogis76VO,230760,4
3574,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,audio_features,5qFxuUIAwJlzO60vqOiL7y,spotify:track:5qFxuUIAwJlzO60vqOiL7y,https://api.spotify.com/v1/tracks/5qFxuUIAwJlzO60vqOiL7y,https://api.spotify.com/v1/audio-analysis/5qFxuUIAwJlzO60vqOiL7y,252693,4
3575,0.3,0.936,2,-5.399,1,0.0456,0.0337,0.021,0.158,0.756,133.065,audio_features,3wFGRek61NIF330UwJCI52,spotify:track:3wFGRek61NIF330UwJCI52,https://api.spotify.com/v1/tracks/3wFGRek61NIF330UwJCI52,https://api.spotify.com/v1/audio-analysis/3wFGRek61NIF330UwJCI52,271907,4
3576,0.504,0.856,7,-6.271,1,0.0423,0.000748,0.359,0.114,0.585,95.402,audio_features,5SAEMjVQbmin3g7b0RG6me,spotify:track:5SAEMjVQbmin3g7b0RG6me,https://api.spotify.com/v1/tracks/5SAEMjVQbmin3g7b0RG6me,https://api.spotify.com/v1/audio-analysis/5SAEMjVQbmin3g7b0RG6me,347440,4
3578,0.552,0.864,8,-6.523,0,0.0375,0.000931,0.0199,0.0856,0.898,140.986,audio_features,53h1ZSLWi8hVWF9DWKNXVh,spotify:track:53h1ZSLWi8hVWF9DWKNXVh,https://api.spotify.com/v1/tracks/53h1ZSLWi8hVWF9DWKNXVh,https://api.spotify.com/v1/audio-analysis/53h1ZSLWi8hVWF9DWKNXVh,194838,4
